date,gross_sales,net_sales,currency,note
2026-01-01,680.05,618.85,USD,
2026-01-07,682.27,620.87,USD,
2026-01-13,684.49,622.88,USD,
2026-01-19,686.71,624.91,USD,
2026-01-25,688.93,626.93,USD,
2026-02-01,685.75,624.03,USD,
2026-02-07,687.97,626.05,USD,
2026-02-13,690.19,628.08,USD,
2026-02-19,692.41,602.09,USD,includes_adjustments
2026-02-25,694.63,632.11,USD,
2026-03-01,691.45,629.22,USD,
2026-03-07,693.67,631.24,USD,
2026-03-13,695.89,633.26,USD,
2026-03-19,698.11,635.28,USD,
2026-03-25,700.33,637.30,USD,
2026-04-01,697.15,634.40,USD,
2026-04-07,699.37,636.43,USD,
2026-04-13,701.59,638.45,USD,
2026-04-19,703.81,640.46,USD,
2026-04-25,706.03,642.49,USD,
2026-05-01,702.85,639.60,USD,
2026-05-07,705.07,595.61,USD,includes_adjustments
2026-05-13,707.29,643.63,USD,
2026-05-19,709.51,645.66,USD,
2026-05-25,711.73,647.67,USD,
2026-06-01,708.55,644.78,USD,
2026-06-07,710.77,646.80,USD,
2026-06-13,712.99,648.82,USD,
2026-06-19,715.21,650.84,USD,
2026-06-25,717.43,652.86,USD,
